整个画面非常干净	2,4 1
手感不好	0,2 -1
在同一感光度拍照下成像是最好的	9,11 1
人物脸部色彩偏暖	4,6 -1
人说这个机器的做工不好	7,9 -1
画制非常不错	0,2 1
我认为这款机是完美的	-1,-1 1
机身配重合理	0,4 1
对焦框自由移动	0,3 1
液晶屏较小	0,3 -1
视野率取景器明亮	3,6 1
此外的使用成本也不低	3,7 -1
用了几天的感受屏实在优	7,8 1
焦点实	0,2 1
而镜头的变焦环手感则不错	7,9 1
大光圈的虚化效果非常好	0,8 1
操作手感好	0,4 1
夜景出片很锐	2,4 1
外观更加时尚	0,2 1
肩屏小了些	0,2 -1
上网很慢	0,2 -1
而且握在手中也是质感一流	8,10 1
快门时滞在同类产品中也是很低的	0,4 1
屏幕比屏幕具有更高的色彩饱和度和亮度	10,15 1
镜头是不错	0,2 1
附加功能多	0,4 1
成像效果较相同价位和相同像素级单片机要好很多了	0,4 1
振动小	0,2 1
前所未有的速度和流畅	5,7 1
实用性一点不差	0,3 1
显示屏显示效果出众	0,7 1
价格比贵	0,2 -1
色彩浓郁透亮且锐度较高	0,2 1
这款机器的价格方面现在非常低	5,7 1
只是液晶屏小了点	2,5 -1
加上优秀的图像细节捕捉能力和图像锐度	5,13 1
启动速度慢	0,4 -1
机子的持握感依旧不错	3,6 1
操作完全够用	0,2 1
效果十分理想	0,2 1
这块防爆膜可能很坚固	2,5 1
且按钮比较小	1,3 -1
我的就是最小的暗部噪点也清晰可见	9,11 1
虽然配有奥林巴斯独家的超声波防尘技术	11,18 1
人机界面亲和	2,4 1
看起来质量很一般	3,5 -1
在弱光下的对焦速度也相当不错	5,9 1
下面的金属质感很强	3,7 1
就是这样一台集便捷的操控	10,12 1
两个录音孔的效果我感觉还可以	2,8 1
不仅保留了优秀的做工	8,10 1
耐用度有限	0,3 -1
电池续航能力一般	0,6 -1
写短信息的时候感觉字母太小	9,11 -1
的外观设计整体来说还是比较简洁	1,5 1
菜单设计比较合理	0,4 1
合焦精准	0,2 1
实际使用中感觉颜色比较偏暖	7,9 -1
它的对焦速度较快	2,6 1
没有采用更加专业的莱卡镜头始终是我感觉的比较遗憾的事情	11,13 -1
惟独紫边让人扫兴	2,4 -1
播放音乐放扬声器真的觉得丢人	0,4 -1
对焦很快	0,2 1
有时使用不便	2,4 -1
机身做工不错	0,4 1
的微距性能相当不错	1,5 1
略显方正长方形做工紧密手感舒服	7,9 1
在防紫边现像方面控制的也不是很好	2,4 -1
噪点抑制的相当出色	0,4 1
可是定焦也太小气了	2,4 -1
