text,sentiment
整个画面非常干净,1
手感不好,-1
在同一感光度拍照下成像是最好的,1
人物脸部色彩偏暖,-1
人说这个机器的做工不好,-1
画制非常不错,1
我认为这款机是完美的,1
机身配重合理,1
对焦框自由移动,1
液晶屏较小,-1
视野率取景器明亮,1
此外的使用成本也不低,-1
用了几天的感受屏实在优,1
焦点实,1
而镜头的变焦环手感则不错,1
大光圈的虚化效果非常好,1
操作手感好,1
夜景出片很锐,1
外观更加时尚,1
肩屏小了些,-1
上网很慢,-1
而且握在手中也是质感一流,1
快门时滞在同类产品中也是很低的,1
屏幕比屏幕具有更高的色彩饱和度和亮度,1
镜头是不错,1
附加功能多,1
成像效果较相同价位和相同像素级单片机要好很多了,1
振动小,1
前所未有的速度和流畅,1
实用性一点不差,1
显示屏显示效果出众,1
价格比贵,-1
色彩浓郁透亮且锐度较高,1
这款机器的价格方面现在非常低,1
只是液晶屏小了点,-1
加上优秀的图像细节捕捉能力和图像锐度,1
启动速度慢,-1
机子的持握感依旧不错,1
操作完全够用,1
效果十分理想,1
这块防爆膜可能很坚固,1
且按钮比较小,-1
我的就是最小的暗部噪点也清晰可见,1
虽然配有奥林巴斯独家的超声波防尘技术,1
人机界面亲和,1
看起来质量很一般,-1
在弱光下的对焦速度也相当不错,1
下面的金属质感很强,1
就是这样一台集便捷的操控,1
两个录音孔的效果我感觉还可以,1
不仅保留了优秀的做工,1
耐用度有限,-1
电池续航能力一般,-1
写短信息的时候感觉字母太小,-1
的外观设计整体来说还是比较简洁,1
菜单设计比较合理,1
合焦精准,1
实际使用中感觉颜色比较偏暖,-1
它的对焦速度较快,1
没有采用更加专业的莱卡镜头始终是我感觉的比较遗憾的事情,-1
惟独紫边让人扫兴,-1
播放音乐放扬声器真的觉得丢人,-1
对焦很快,1
有时使用不便,-1
机身做工不错,1
的微距性能相当不错,1
略显方正长方形做工紧密手感舒服,1
在防紫边现像方面控制的也不是很好,-1
噪点抑制的相当出色,1
可是定焦也太小气了,-1
对可以拍摄夜晚灯光和运动物体效果很好,1
非常人性化的设计啊,1
做工好,1
摄像的效果不错,1
的对焦准确性相当好,1
高下照片燥点比较明显,-1
散热不是很好,-1
但也发现局部有较明显的紫边,-1
成相质量好,1
变焦比小,-1
声音还原较佳,1
性价比也不怎么样,-1
手持的握感还是相当不错的,1
居然带简单的手动模式,1
锐度高,1
虽然可连接电脑当摄像头使用但效果非常差,-1
成像锐度不甚理想,-1
中央对焦点很快,1
除了价格比较高一些,1
且液晶屏旁的滚轮操作不是那么顺手,-1
威猛的机身,1
拍出人物的皮肤较硬,-1
前后双拨轮令操作更快捷更简单,1
图像细腻程度较高,1
实际拍摄效果还算是比较令人满意的了,1
在我看来一切都很完美了,1
菜单操作相对复杂,1
设计出色,1
效果明显,1
大容量的价格一直比较高,-1
高光物体边缘有明显紫边现象,-1
另外就是我后面要说的由于系统垃圾,-1
而且色彩鲜艳反差略大,-1
外观小巧但有质感,1
可视角度很大,1
短片功能不错,1
的这枚镜头分辨率很出色,1
对焦很快,1
体积小巧,1
反而各个功能都不尽人意,-1
使对焦点选择等操控更加便捷,1
在画面细节上的表现还算不错,1
小的参数很齐全,1
拍摄速度在光线好是不错,1
保留了广角还是很吸引人的,1
成像质量不错,1
考虑到卡不人性的价格,-1
在视频拍摄功能方面和相比也有一定的进步,1
机器真的很漂亮,1
这个画面表现还不错,1
做工用精湛来形容不为过,1
部分技术参数差强人意,-1
而且使用速度狂慢我用的是苹果一体机,-1
感觉价格还算可以,1
现在的清晰度很好,1
的高感画质相当不错,1
的画质已经提升了很多,1
却有着以往时尚类数码相机所不具备的丰富功能,1
价格太高,-1
开机慢大概秒以上,-1
直观的界面,1
总之我觉得还是相当不错的机子,1
不过能使用碱性五号电池也是优点,1
功能局限,-1
就是屏幕的显示效果一般,-1
外放声音有点小,-1
的微距对焦速度也理想,1
套头比要强多了,1
整体机器比较大气,1
在实际使用时感觉的镜头变形控制的非常出色,1
有大量场景模式供选择,1
耗电量比屏幕的还高,-1
独特的旋转镜头加上飞快的开机速度,1
转轮和八向键比较好用或许是因为我没有尝过摇杆的厉害吧,1
当然后壳有点软,-1
的电池性能也只能算一般,-1
但想手动调节还不行,-1
拥有最近厘米的超级微距能力,1
屏显还好,1
合焦速度还不错,1
他的色彩在柯美中尚算一流,1
奥林巴斯的外形做得非常有特色,1
录音效果还算可以了,1
便宜好用的自动镜头少,1
屏幕非常赞,1
机体小巧,1
在显示器看的图片色彩异常的好,1
功能完善而强大,1
突起部分起到了很好的握持支撑,1
而这款尼康的还原性非常好,1
的液晶屏还原色彩真实,1
原装配件太贵,-1
不过这样带来的坏处是有时候看照片会很不方便,-1
所以标配的的拍照持续时间一般,-1
而且在拍摄人像的时也能获得令人意想不到的视觉效果,1
毫米的焦距也很标准,1
摄像画面质量很好,1
局部做得比较粗糙,-1
多重曝光非常好玩∩∩哈哈,1
最重要的镜头和没有变化并且价格更加便宜,-1
在高光条件下拍摄图像相当不错,1
价格实惠,1
对焦点少了点,-1
拍得可真清楚,1
手感操控性能画质已然全面落后,-1
机器反应速度更快,1
其他操控手感偏于生硬,-1
小巧机身蕴涵了五百万像素的和三倍光学变焦镜头,1
软件垃圾导致的费电,-1
色泽与可视角表现也佳,1
还有几个试用者也表示这个光圈环很是舒服,1
试了几次开关机感觉启动速度还比较快,1
边缘锐利度不错,1
噪点控制不错,1
最佳的集成化,1
总体来说是一个不错的机器,1
笔者发现该机成像颗粒比较粗糙,-1
成像的质量都比较高,1
英寸实在太落后了,-1
全中文菜单设置层级合理,1
短片占用存储卡空间偏大,-1
的手感相当不错,1
这是一部价格优惠,1
躁点和紫边严重,-1
且色彩十分讨喜,1
开机速度快,1
体积不大,1
它的做工确实精湛镜头也很漂亮就是一件工艺品,1
使相机具备了更强大的数据处理能力,1
对焦点那个多啊,1
机器外形很漂亮,1
还原效果理想,1
连拍的声音很有,1
微距自动对焦较慢,-1
成像好,1
显色高亮清晰,1
还很山寨的后盖,-1
相机反应速度有点慢,-1
机子的电池不行,-1
画质又不错,1
变焦感觉有点慢哦,-1
麦克风和音量键的设计的确不合理,-1
强大的对焦系统,1
但续航能力依然不弱,1
具有强大的动态短片拍摄功能,1
自动人像识别和人像追踪对于拍摄非常的实用,1
手感非常好,1
下载软件也很慢,-1
紫边和暗角也控制的相当不错,1
外形亮丽,1
使得防滑性更好,1
感光度设置不当,-1
做工非常的精致,1
高感光度成像质量很好,1
成像不突出,-1
格式的录像效果我感觉也很满意,1
静音快门很实用,1
但是相应的内存卡占用也很大,-1
它的连拍速度非常过瘾,1
屏幕英寸不错,1
但手感不错,1
手动变焦对焦环手感舒适,1
而且设计的镜头有些突出,-1
屏幕很清楚,1
所以在图像处理的速度方面非常迅速,1
感觉很重屏幕很窄,-1
选单设置丰富,1
自由度稍显不足,-1
的手感确实没有广告的图片那么好,-1
能在光线不足的环境中拍摄出清晰的照片,1
留给用户自定义的快门速度值有限,-1
电耗厉害,-1
发现测光系统非常灵敏,1
而且相机成像的质量也不错,1
色彩也鲜艳,1
像素较高达到,1
松下出来的图片的比对度的确有点不够,-1
这就是实用的翻转,1
电力的确非常充沛,1
相机的成像质量好,1
感觉镜筒的设计是很随便的没有用心,-1
这款相机在外观上并非超薄,-1
长焦端光圈显得小了些,-1
噪点控制相当不错,1
左上角的拨盘看上去仍然很幼稚,-1
英寸液晶屏显示效果出色,1
效果很好,1
星头对焦速度更快,1
色彩还原也比较准确,1
在高分辨下它的噪点和成像颗粒感会稍微严重一些,-1
价格便宜,1
还有镜头保护盖很容易松,-1
单拨轮转盘在看片子时很舒服,1
完备的配件,1
使得拍照的抓拍能力不是很强,-1
但变焦阻尼较大,-1
色彩方面更加趋于接近真实,1
但握持感更强烈,1
色彩还原真实,1
好像油漆有点软啊,-1
布置紧凑,1
镜头小了一点,-1
自动档拍照并不象有些网上评说的效果那么差,1
但是在长焦端拍摄特写效果依旧显著,1
操作时手感很好,1
待机很满意,1
入手水货质量一般,-1
边角画质也很好,1
他也对荣耀的屏幕细腻度很惊艳,1
手动功能很全面,1
白平衡也好,1
短片模式也比较吸引人有,1
屏幕太小,-1
的恒定光圈让人遗憾,-1
寸万像素的超级晶彩屏视角非常宽,1
开机速度快,1
软件的人性化一般般,-1
整机很沉重,-1
手机的键盘也很爽,1
画质略弱于,-1
画面细腻,1
对焦速度以及很短的快门延迟,1
屏幕变大变更清晰了,1
反转屏的设计很好用且方便构图,1
画质出众,1
做工一般,-1
对焦速度十分快,1
在模式下拍摄的照片依然比较细腻,1
机身背面比较抢眼,1
对于这样小巧且重量很轻的相机来说,1
机身平整光滑,1
出色的制造工艺加上强金属质感的拉丝工艺面板,1
风景摄影表现一般,-1
富士机表现尚好,1
对焦速度并没有广告中的那么神,-1
系统的漂亮界面,1
画质素质不俗,1
对焦速度慢,-1
机器有点慢,-1
内容十分详尽,1
而它极轻的快门声音和微小机震几乎是我所使用过的数码单反中控制的最好的,1
这个镜头的成像还算不错,1
快门时滞稍长,-1
作为高画质摄像机来说总体质量很轻,1
噪点也低,1
所以机身很轻薄,1
颜色亮丽,1
对焦干脆,1
使本机有较强的实用价值,1
丰富的功能,1
对红色和绿色的饱和度还原的比较好,1
感受屏幕分辨率不错,1
我觉得满耐用的,1
效果还不错的,1
功能强大,1
这样在显示效果方面就细腻了很多,1
色彩自然逼真,1
菜单按键和前后转盘等的设计都非常方便实用,1
就说下设计上的不足,-1
色彩还原表现准确,1
逆光性能优秀,1
锐度强,1
配置不错,1
实际拍摄感觉色彩艳丽,1
另外的色彩还原我觉得也可以,1
电池比前者贵很多,-1
材料做工质感非常差劲,-1
粘贴的牢靠度太差,-1
但感动的镜头的确是一流的外观,1
充电速度挺快,1
的机器操作也很简单,1
微距性能不突出,-1
转场动画比起蝴蝶更优异,1
而且在微距状态下对焦速度飞快,1
寸显示屏也是在同档次价位相机中比较大的,1
屏幕真的很舒服,1
但操作起来一点也不复杂,1
机子重量还行,1
这时紫边并不明显,1
在日光下色彩还原非常好,1
原因之一是转盘太小,-1
对焦速度方面依然表现一般,-1
索尼一向功能强大,1
英寸超大液晶屏幕,1
设置参数多,1
速度较快,1
液晶屏幕的响应时间非常迅速,1
处理器处理功能强大,1
机身加镜头的体积也略大,-1
机身做工在同档次产品中比较出众,1
机身接缝紧密,1
确实是一个不错的设计,1
的紫边现象比较轻微,1
屏幕显示效果突出,1
美能达是存在降噪不好的情况,-1
网络上许多讨论与画质测试依然相当出色,1
机身塑料感强轻,-1
性能参数也不容忽视,1
画面细腻,1
光圈性能出众,1
速度很快,1
表面喷漆和尼康的的那种梨皮漆相比还有点过于细腻,-1
不主流的顺滑系统,-1
使所拍摄的相片真实感较差,-1
是绝的的性价比高,1
闪光灯简化了,1
外放音乐效果差强人意,-1
此外电动变焦镜头挺好玩的,1
整机感觉略轻,1
感觉对焦速度很快,1
这机身重量还是偏沉,-1
画面闪烁感较强,-1
效果一流,1
具有多种情景模式,1
可玩性相当高,1
能在如此小巧的机身中藏下如此丰富的功能确实也是难能可贵的,1
金属机身做工很好,1
而它的对焦速度也非常出色并且在拍摄过程中,1
电池够强劲,1
系统也是很好用,1
的对焦屏比较简单的感觉,1
外观沉稳大气,1
如此的续航能力算是相当不错的,1
松下的的触摸屏灵敏快速,1
的功能是众多七百万像素机型中最丰富,1
各种应用软件非常丰富,1
拍照时快门时滞明显,-1
像质锐利,1
发现此机对于暗光线下的拍摄非常出色,1
噪点还是略略多一些,-1
的微距值得称道,1
的手动功能还是挺丰富的,1
感觉手柄还是略小,-1
液晶屏太小相素太低,-1
色彩还原真实自然,1
而且视频的效果很差,-1
外观上比较小巧时尚,1
照片分享也给力很多,1
设置相当的细腻,1
具有对焦安静迅速的特点,1
另外感觉二者反应都很慢哈,-1
的对焦比较慢,-1
机身给本人感觉就是手感顺滑,1
屏幕很好,1
人机界面非常人性化,1
但我却很喜欢真实的色彩,1
自动曝光比较准确,1
外放声音很小,-1
操作方式过于繁琐,-1
快门延时稍长,-1
电池使用时间超长,1
有比较明显的躁点,-1
是一款综合素质不错的便携式消费级数码相机,1
为什么照片这么小,-1
手感依然舒适,1
做工比扎实很多,1
感觉最爽的就是的镜头,1
光圈大,1
这款机子外形比较小巧,1
电池续航能力一般,-1
手感很差,-1
大而通透的莱卡镜头实在是很帅,1
加上做工精良的光学取景器,1
这对焦屏绝对给人耳目一新的感觉,1
不仅成像清晰度高,1
的苗条身材,1
大拨轮在浏览图片时比较爽,1
但是白平衡有时不太好,-1
镜头反映速度较块,1
电池时间长,1
拍了几张追焦挺准我用的镜头是和痰盂由于马达的原因追焦速度和准确率明显高于痰盂,1
具有全面的防水和防尘功能,1
勿扰模式很不错,1
连拍速度缩水,-1
功能全面,1
机子太小太轻,-1
对于物品的质感的表现上也比较到位,1
对焦速度快,1
成像质量高,1
硬盘太小,-1
手动对焦更慢一些,-1
而且对焦非常准确和迅速,1
这反映出产品做工的精细的一面,1
手感我觉得更好,1
手感也还可以没人家说握着不舒服的现象,1
变焦连贯,1
菜单使用起来方便快捷,1
微距性能极佳,1
优势完美的外形,1
结构复杂度能降低些,-1
优点自动对焦比快了太多太多了,1
方便携带或许是三星数码相机外观设计方面唯一值得称赞的一点了,1
另外在阳光下的显示效果不是很好,-1
有很好的夜摄效果,1
光线好的时候照片质量很高,1
和像质好是好,1
速度快,1
这机的性价比可以说得上极高的了,1
这款的画质清洁度感觉一般,-1
开关等没有的精细,-1
也许机器本身功耗偏高也是现在这种情况的起因之一,-1
按键镜头等做工不错,1
这样的显示方式无疑更直观和方便,1
取景偷拍成功率大大提升,1
可是Ⅱ重量偏大,-1
拍摄出的照片发虚,-1
具有强大的视频拍摄能力,1
对焦速度还可以,1
比如画面比的就要强,1
中所附带的被动式降噪功能十分实用,1
现在这个价格也算是很划算的,1
中心对焦点在暗光条件下的对焦能力更是远远的超过了,1
辅助对焦灯的作用也不太明显,-1
图像质量不佳,-1
同等价位中最好的套头,1
连拍很给力哦,1
固定背带环不好,-1
效果还不错,1
档案算蛮小的,1
暗部细节表现不是很理想,-1
手柄太小,-1
对噪点的控制较为理想,1
低感光度拍摄的图像犀利清晰层次好,1
成像清晰锐利,1
操作响应速度快,1
配合键使操控能力提升,1
不过超薄的设计还是很吸引眼球,1
性价比极高,1
性价比较高,1
在室内复杂光源条件下拍摄也能得到比较好的色调还原,1
分辨率也高,1
并且合焦精度非常高,1
颜色失真,-1
这个产品的外观还可以吧,1
大小也正好,1
焦段相当长,1
的内部降噪程序效果非常明显,1
色彩还原中规中矩,1
没有单独把防抖功能设为独立的按键,-1
效果极好,1
开机关机很方便,1
广角不够用,-1
对焦精度太差了,-1
播放高清视频很给力,1
真的感觉的技术很强大,1
但反应度感观觉得不如的好,-1
而佳能相机的噪点控制相对较好,1
效果非同一般,1
的解像度可能很高,1
由于使用了全新的对焦模块,1
感觉细节处理不够好,-1
电池疲软,-1
但阴影处的表现欠佳,-1
的做工还是相当出色的,1
的快门时滞较短,1
价格便宜,1
画面干净的优点同样得以在上体现,1
理光那种流畅的瞬间对焦又再次回到了我的身边,1
厘米的厚度设计在非潜望镜式的卡式相机中是决无仅有的,1
手感挺好,1
效果比较厚一点,1
英寸万像素的超大屏幕,1
握持稳定,1
成像显著提升,1
难对焦,-1
操作性强,1
这在家用卡片机中的放大倍率是最大的,1
像素低感觉画面锐度要差一些,-1
不过这块看上去不够鲜艳,-1
当然考虑到价钱方便现在的价格很不错,1
优势十足镜头通光量充足,1
超级微距功能,1
启动速度也很快,1
从没想过徕卡的高感会做的如此优秀跟佳能尼康还是比不了了,1
对焦的速度上并不是很突出,-1
后来熟悉后就发现尼康的按键设置的还是比较合理的,1
屏幕的鲜艳一点,1
的对焦速度令人满意,1
广角端不足,-1
的成像固然不错,1
但是其续航能力的确非常强,1
手感手感非常好,1
功能强大,1
感觉开机速度不错,1
两者造型厚实,1
画质特别好,1
屏幕效果细腻著称,1
但是对焦真的很好,1
为此花费不小,-1
只是操控起来略显繁琐,-1
依然有着清晰锐力的成像品质,1
对焦速度很快,1
性能使用的虽是富士自产的超级,1
自定义对焦点太少了,-1
整体成像表现一般,-1
而内存在同一像素中占的内存是最小的,1
按键布局更加合理,1
的对焦速度还算可以,1
的镜头配置也绝对称的上主流,1
但是电池实在不耐用,-1
快门速度缩水,-1
方向性较强,1
快门清脆,1
其实他的外表确实做的没有漂亮,-1
机身小巧,1
画质优秀,1
高感也不错,1
层次感强,1
屏幕触控性好,1
总体来说对的评价很差,-1
信号强,1
经济性毋庸置疑,1
高值时噪点控制不好,-1
图象色彩艳丽,1
价格对我来说也贵了,-1
显示效果当然是胜出,1
机身很大,1
但调节范围较小,-1
声音比较大,1
色彩还原到位,1
整机手感很棒,1
带的高清摄像,1
操控优秀的个机子,1
通过这个底座实现了全面简易的连接功能,1
自动白平衡比较准确,1
变焦速度和对焦速度还可以,1
拍出来的照片色调有些奇怪,-1
色彩层次和场景包容能力也不差,1
有很好的录音品质但没有单独提供录音功能,1
一直嫌那两台单反有点笨重,-1
非常人性化的设计啊,1
细腻度大打折扣,-1
方便的取电方式,1
丰富的场景模式,1
画质细腻,1
倍光学变焦的镜头让人很是喜欢,1
的成像尽管清晰度比较高,1
此机的编辑功能较强,1
屏幕颗粒感不严重,1
尼康的操控性要强些,1
技术参数醒目,1
有些游戏可能运行很吃力,-1
