text,sentiment
"judging from previous posts this used to be a good place , but not any longer .",-1
"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",-1
"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",-1
the food was lousy - too sweet or too salty and the portions tiny .,-1
"after all that , they complained to me about the small tip .",-1
avoid this place !,-1
"i have eaten at saul , many times , the food is always consistently , outrageously good .",1
saul is the best restaurant on smith street and in brooklyn .,1
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,1
the wine list is interesting and has many good values .,1
"for the price , you can not eat this well in manhattan .",1
i was very disappointed with this restaurant .,-1
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,-1
i had to ask her three times before she finally came back with the dish ive requested .,-1
"food was okay , nothing great .",0
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,-1
i / we will never go back to this place again .,-1
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",1
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",1
you ca n ' t go wrong here .,1
every time in new york i make it a point to visit restaurant saul on smith street .,1
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",1
i had the duck breast special on my last visit and it was incredible .,1
and i hate to say this but i doubt i ' ll ever go back .,-1
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",-1
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,1
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,1
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,1
the perfect spot .,1
food - awesome .,0
service - friendly and attentive .,1
ambiance - relaxed and stylish .,1
"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",1
the food is decent .,0
"however , it ' s the service that leaves a bad taste in my mouth .",-1
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",-1
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",-1
"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",-1
the last time i walked by it looked pretty empty . hmmm .,-1
i had a great experience .,1
food is great .,1
service is top notch .,1
i have been going back again and again .,1
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",1
the sushi seemed pretty fresh and was adequately proportioned .,1
the rice to fish ration was also good - - they did n ' t try to overpack the rice .,1
